mon,pronunciation,pos,th
အ,อะ,น.,สระตัวที่1ของมอญ
အ,อะ,ว.,ติดอ่าง
အက္ညဝ်,อะกญอ,น.,อาการอักเสบ
အကတည္ညူ,อะกะตอนญู,น.,อกตัญญู
အကတည္ညူ,อะกะตอนญู,น.,ไม่รู้บุญคุณ
အကနိတ္ထ,อะกะนิฺดทะ,น.,อกนิษฐ์
အကနိတ္ထ,อะกะนิฺดทะ,น.,รูปพรหมชั้นสูงสุด
အကြာ,อะกฺรา,บุพ.,ระหว่าง
အကြာ,อะกฺรา,บุพ.,ท่ามกลาง
အကြိုက်,อะกฺริาก,น.,ความเหมาะสม
အကြီု,อะกฺราม,น.,การยกย่อง
အကြီု,อะกฺราม,น.,การสรรเสริญ
အကြီု,อะกฺราม,น.,บทนำ
အကြီု,อะกฺราม,น.,อารัมภบท
အကွက်,อะกฺวัก,สัน.,สำหรับ
အကွက်,อะกฺวัก,สัน.,เผื่อ
အကၚ်,อะกัง,น.,ผื่นคัน
အကၚ်,อะกัง,น.,อาการกำเริบที่เกิดจากพิษต่าง ๆ
အကၚ်ဂျိ,อะกังกฺฺยิ,น.,พิษคัน
အကၚ်ဇြုံဇါတ်,อะกังซฺุมจฺาด,น.,พิษงูเห่า
အကၚ်မြန်,อะกังแมฺ.รฺอน,น.,พิษฝีดาด
အကပ်,อะกอบ,น.,กรอบ
အကပ်,อะกอบ,น.,ขอบ
အကာပ်,อะกาบ,น.,นกตะขาบ
အကာပ်,อะกาบ,น.,นกกระเต็น
အကာရ,อะการะ,น.,ท่าทาง
အကာရ,อะการะ,น.,อาการ
အကာသ,อะกาซะ,น.,อากาศ
အကာသ,อะกาซะ,น.,ท้องฟ้า
အကာသ်,อะกาด,น.,อากาศ
အကာသ်,อะกาด,น.,ท้องฟ้า
အကာသဇဵု,อะกาซะเจฺอ,น.,อากาศเทวดา
အကေၚ်,อะเกียง,น.,ความเคยชิน
အကေၚ်,อะเกียง,น.,ประเพณี
အကေၚ်,อะเกียง,น.,ความสืบเนื่อง
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,ตามเคย
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,เคยตัว
အကေၚ်အကေၚ်,อะเกียงอะเกียง,ว.,เคยชิน
အကောပ်,อะโกบ,น.,กรอบ
အကောပ်,อะโกบ,น.,ขอบ.เช่น အကောပ်ကွဳ ขอบล้อเกวียน
အကောပ်အဝဲ,อะโกบอะวัฺว,น.,วัฏสงสาร
အကောပ်အဝဲ,อะโกบอะวัฺว,น.,วัฏจักร
အကံက်,อะกอก,น.,ภาษี
အကံက်,อะกอก,น.,ส่วย
အကး,อะกะฮ,น.,ท้องฟ้า
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,บทคัดย่อ
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,เรื่องย่อ
အကြီုနဳဒါန်,อะกฺรามนีฺตฺาน,น.,บทนำ
အခြၚ်,อะคฺรัง,ว.,ทั้ง ๆ ที่
အခြၚ်,อะคฺรัง,ว.,มาตรว่า
အခြၚ်,อะคฺรัง,ว.,แม้ว่า
အခန်,อะคอน,น.,กัณฑ์  ตอน
အခန်,อะคอน,น.,ภาค
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,บรรพ์
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,ตอนใหญ่
အခန်ဇၞော်,อะคอนแจฺ.โนฺก,น.,เรื่องยาว
အခန်ဍောတ်,อะคอนโดด,น.,บทกลอน
အခန်ဍောတ်,อะคอนโดด,น.,โคลง
အခဝ်,อะคอ,น.,อักขระ
အခဝ်,อะคอ,น.,อักษร
အခါ,อะคา,น.,ขวบ
အခါ,อะคา,น.,ปี
အခါန်,อะคาน,น.,อาคาร
အခိၚ်,อะเคิญ,น.,เวลา
အခိၚ်တ္ၚဲ,อะเคิญตะงัว,น.,เวลากลางวัน
အခိၚ်ဗ္တမ်,อะเคิญแปฺ.ตอม,น.,เวลากลางคืน
အခေၚ်ပၞာန်,อะเคียงปะนาน,น.,จตุรงคเสนา
အခေၚ်ပၞာန်,อะเคียงปะนาน,น.,กระบวนทัพ
အခေါဗနဳ,อะเคาแปฺ.นีฺ,ว.,มากจนนับไม่ถ้วน
အခေါဗနဳ,อะเคาแปฺ.นีฺ,ว.,มากเหลือนับ
အခေါဗနဳ,อะเคาแปฺ.นีฺ,ว.,อักโข
အခေါၚ်,อะโคง,น.,การให้โอกาส
အခေါၚ်,อะโคง,น.,การอนุญาต
အခေါန်,อะโคน,น.,ภาษี
အခေါန်,อะโคน,น.,ส่วย
အခေါန်,อะโคน,น.,อากร
အခေါန်ဖလာ,อะโคนพะลา,น.,ภาษีอากร
အခေါန်အဒါန်,อะโคนอะตฺาน,น.,ภาษีอากร
အချဴ,อะคฺยาว,น.,มดแดง
အခိုက်,อะคิาก,น.,ท่าทาง
အခိုက်,อะคิาก,น.,แบบอย่าง
အခိုက်,อะคิาก,น.,จารีต
အခိုက်ကနာ,อะคิางกะนา,น.,ท่าทาง
အခိုက်ကနာ,อะคิางกะนา,น.,แบบอย่าง
အခိုက်ကနာ,อะคิางกะนา,น.,จารีต
အခိုၚ်,อะคิาง,น.,ความมั่นคง
အခိုၚ်,อะคิาง,น.,ความแข็งแรง
အခိုၚ်,อะคิาง,น.,ความสำคัญ
အခိုၚ်အနိၚ်,อะคิางอะเนิฺญ,ว.,โดยพลการ
အခိုၚ်အနိၚ်,อะคิางอะเนิฺญ,ว.,โดยใช้อำนาจ
အခိုၚ်အနိၚ်,อะคิางอะเนิฺญ,ว.,โดยเผด็จการ
အဂတိ,อะแกฺ.ตอย.,น.,อคติ
အဂတိ,อะแกฺ.ตอย.,น.,ความลำเอียง
အဂၞု,อะแกฺ.นฺุ,น.,บุนนาค
အဂၞဲ,อะแกฺ.นัฺว,น.,ทิศอาคเนย์
အဂၞဲ,อะแกฺ.นัฺว,น.,ทิศตะวันออกเฉียงใต้
အဂြၚ်,อะแกฺฺรง,น.,ตั๊กแตนปาทังก้า
အဂၠဴ,อะแกฺฺล-า,น.,กฤษณา
အဂၠဴ,อะแกฺฺล-า,น.,จันทนา
အဂန္တုက,อะกฺอนเตา.กะ,น.,อาคันตุกะ
အဂန္တုက,อะกฺอนเตา.กะ,น.,ผู้มาเยือน
အဂန္တုက,อะกฺอนเตา.กะ,น.,แขก
အဂှ်,อะกฺอ.ฮ,น.,สถานที่นั้น
အဂှ်,อะกฺอ.ฮ,น.,ที่นั้น
အဂီု,อะเกิฺม,น.,นิยาย
အဂီု,อะเกิฺม,น.,เรื่องเล่า
အဂီု,อะเกิฺม,น.,นิทาน
အဃော,อะโคฺว,ว.,ขณะ
အဃော,อะโคฺว,ว.,กำลัง(กระทำอยู่)
အဃော,อะโคฺว,น.,เวลา
အဃော,อะโคฺว,น.,ขณะ
အၚပ်,อะงฺอบ,น.,ความอยาก
အၚပ်,อะงฺอบ,น.,ความปราถนา
အၚဝ်,อะงฺอ,น.,ท่าทาง
အၚဝ်,อะงฺอ,น.,คู่
အၚာ,อะแงฺ-า,น.,ชื่อดาวนพเคราะห์
အၚာ,อะแงฺ-า,น.,วันอังคาร
အၚာပ်,อะงฺาบ,น.,กราม
အေၚာဝ်,อะโงฺ,น.,คู่
အေၚာဝ်,อะโงฺ,ว.,คล้าย
အေၚာဝ်,อะโงฺ,ว.,เหมือน
အစၚ်ခြၚ်,อะจังคฺรัง,น.,ความคิด
အစၚ်ခြၚ်,อะจังคฺรัง,น.,ความรำพึง
အစၚ်ခြၚ်,อะจังคฺรัง,น.,ความใคร่ครวญ
အစပ်,อะจอบ,ก.,1.ติดกัน
အစပ်,อะจอบ,น.,ต่อกั  2.ว.ต่อเนื่อง
အစပ်,อะจอบ,น.,ต่อกัน
အစပ်,อะจอบ,น.,พอเหมาะ
အစပ်,อะจอบ,น.,พอดี
အစပ်,อะจอบ,น.,ถัด
အစပ်,อะจอบ,น.,ต่อจาก
အစပ်သဟာဲ,อะจอบซะหาย,น.,เพื่อนสนิท
အစါ,อะจา,น.,อาจารย์
အစါ,อะจา,น.,ผู้ชำนาญเฉพาะทาง
အစါကၞေဟ်,อะจากะเน.ฮ,น.,ช่างจานหนังสือ
အစါကၞေဟ်,อะจากะเน.ฮ,น.,นักเขียน
အစာကမာန်,อะจากะมาน,น.,ช่างจักสาน
အစာကမာန်,อะจากะมาน,น.,ช่างจักตอก
အစါကဝတ်,อะจากะวอด,น.,หมอนวด
အစါကဝိ,อะจากะวอย.,น.,นักประพันธ์
အစါကဝိ,อะจากะวอย.,น.,กวี
အစါကသူ,อะจากะเซา,น.,ช่างวาด  ช่างเขียน
အစါဂိုန်,อะจาเกิฺน,น.,หัวหน้าคณะ
အစါတ်,อะจาด,น.,เครื่องเคียง
အစါတ်,อะจาด,น.,ผักชุบแป้งทอด
အစါတ်,อะจาด,น.,ทอดมัน
အစါတွံဓဝ်,อะจาตฺวอ.ฮทฺอ,น.,พระธรรมกถึก
အစါတွံဓဝ်,อะจาตฺวอ.ฮทฺอ,น.,พระนักเทศน์
အစါဒမၠုမတ်,อะจาตฺอมลฺุมฺอด,น.,นักเล่นกล
အစါဒမၠုမတ်,อะจาตฺอมลฺุมฺอด,น.,นักมายากล
အစါနိသ္သယ,อะจานิฺดสะยะ,น.,พระอาจารย์ผู้ให้นิสัย
အစါပရန်,อะจาปะรอน,น.,ช่างปูน
အစါပန်,อะจาปอน,น.,อาจารย์ทั้งสี่มีในเรื่องมโหสถ
အစါဗ္တောန်လိက်,อะจาแปฺ.โตนเลิฺจ,น.,ครูสอนหนังสือ
အစါရ,อะจาระ,น.,การชักนำ
အစါရ,อะจาระ,น.,ความประพฤติ
အစါလမာန်,อะจาแลฺ.มฺาน,น.,ช่างปั้น
အစါလမာဲ,อะจาแลฺ.มฺาย,น.,หมองู
အစါလၚ်ကာ,อะจาแลฺงกา,น.,ผู้แต่งกาพย์กลอน
အစါလၚ်ကာ,อะจาแลฺงกา,น.,ผู้ประพันธ์บทกลอน
အစါသဝ်,อะจาซอ,น.,หมอยา
အစါသဝ်,อะจาซอ,น.,แพทย์
အစါအသံက်,อะจาอะซอก,น.,เสนาบดี
အစါအတ္ထကထာ,อะจาออดทะกะทา,น.,พระอรรถกถาจารย์
အစါဥပဇ္ၛာဲ,อะจาอุปอดชฺาย,น.,พระอุปัชฌาอาจารย์
အစိတ်,อะจิด,น.,ยี่สิบห้า
အစိတ်,อะจิด,น.,หนึ่งส่วนสี่ของร้อย
အစိန္တိယ,อะจินตอย.ยะ,ว.,ไม่ควรคิด
အစိန္တိယ,อะจินตอย.ยะ,ว.,ยากแก่การคิดคำนึง
အစဳရေၚ်,อะจีเรียง,น.,การจัด
အစဳရေၚ်,อะจีเรียง,น.,การวางแผน
အစဳရေၚ်,อะจีเรียง,น.,การเรียบเรียง
အစုတ်,อะจุด,,ดู  လစုတ်
အစေန်အဆက်,อะเจนอะชัก,น.,การสืบต่อกันมา
အစေန်အဆက်,อะเจนอะชัก,น.,ความต่อเนื่องกัน
အစေါန်စိုတ်,อะโจนจอด,น.,ความอิจฉา
အစေါန်စိုတ်,อะโจนจอด,น.,ความริษยา
အစေါန်အပြံက်,อะโจนอะปฺรอก,น.,จุด
အစေါန်အပြံက်,อะโจนอะปฺรอก,น.,ด่าง
အစေါန်အပြံက်,อะโจนอะปฺรอก,น.,รอย
အစေါန်အပြံက်,อะโจนอะปฺรอก,น.,ด่างพร้อย
အစောံဒြဟတ်,อะโจมแตฺฺร.ฮอด,น.,กำลังวังชา
အစောံဒြဟတ်,อะโจมแตฺฺร.ฮอด,น.,พละกำลัง
အစံၚ်အတူ,อะจองอะเตา,น.,ความลำบากใจ
အစံၚ်အတူ,อะจองอะเตา,น.,ความกระวนกระวาย
အစံၚ်အတူ,อะจองอะเตา,น.,ความเดือดร้อน
အစိုၚ်,อะจิาง,น.,ความเฉื่อยชา
အစိုၚ်,อะจิาง,น.,ความเชื่องช้า
အဆက်အဆက်,อะชักอะชัก,ว.,ต่อเนื่องกัน
အဆက်အဆက်,อะชักอะชัก,ว.,สืบเนื่องกัน
အဆတ်,อะชอด,ว.,จริง
အဆတ်,อะชอด,ว.,แท้
အဆတ်,อะชอด,ว.,แน่นอน
အဆေဝ်သွဝ်,อะเชฟอ,น.,นางอัปสร
အဆေဝ်သွဝ်,อะเชฟอ,น.,นางฟ้า
အဆေဝ်သွဝ်ဗြဴ,อะเชฟอแปฺฺร-า,น.,นางฟ้า
အဆေဝ်သွဝ်ဗြဴ,อะเชฟอแปฺฺร-า,น.,เทพธิดา
အဆံၚ်,อะชอง,น.,ชั้น
အဆံၚ်,อะชอง,น.,ขั้นตอน
အဆံၚ်,อะชอง,น.,ลำดับขั้เช่น အဆံၚ်သၟဝ် ชั้นล่าง
အဆံၚ်အလံၚ်,อะชองอะลฺอง,น.,ธงสัญญาณ
အဆံၚ်အလံၚ်,อะชองอะลฺอง,ก.,เลื่อนตำแหน่ง
အဇ,อะแจฺ.,น.,ท่าทาง
အဇ,อะแจฺ.,น.,กริยา
အဇ,อะแจฺ.,น.,มารยาท
အဇ,อะแจฺ.,น.,อัธยาศัย
အဇုမ,อะจฺุแมฺ.,น.,เชื้อหมัก
အဍာၚ်,อะดาญ,น.,ลูกกระดอม
အဏု,อะเนา.,น.,อณู
အဏု,อะเนา.,น.,ส่วนที่เล็กที่สุด
အဏံ,อะนอ.,น.,ที่นี่
အတှ်,อะตอ.ฮ,น.,เสา
အတှ်,อะตอ.ฮ,น.,หลัก
အတှ်,อะตอ.ฮ,น.,ลูกสลัก
အတှ်ဆုဣနတက္ခိ,อะตอ.ฮชุอินตักขี,น.,เสาหลักเมือง
အတှ်တၟံ,อะตอ.ฮตะมอ.,น.,เสาหลักหิน
အတၚ်,อะตัง,น.,ชาย
အတၚ်,อะตัง,น.,ริม
အတၚ်,อะตัง,น.,ขอบ.เช่น အတၚ်ဂၞိန် ชายผ้านุ่ง
အတာ,อะตา,น.,ดินที่งอกออกไปจากฝั่ง
အတာ,อะตา,น.,มาตราวัดระยะ1อะตา เท่ากับ7ศอก
အတိက်,อะเติจ,น.,อดีด
အတုန်အခၠေဝ်,อะตุนอะเคฺล,น.,การเอื้อเฟื้อ
အတုန်အခၠေဝ်,อะตุนอะเคฺล,น.,การสนองบุญคุณ
အတူ,อะเตา,,ดู လတူ
အတူလ,อะเตาละ,ว.,ไม่มีอะไรเปรียบ
အတူလံၚ်,อะเตาลฺอง,ว.,ไม่มีอะไรเปรียบ
အတး,อะตะฮ,น.,สงกรานต์
အတိုၚ်,อะติาง,ว.,ตามที่
အတိုၚ်,อะติาง,ว.,อย่างที่
အတိုၚ်,อะติาง,ว.,แบบที่
အတိုၚ်,อะติาง,ว.,แล้วแต่
အထက်,อะทัก,น.,คราว
အထက်,อะทัก,น.,สมัย
အထက်,อะทัก,น.,ครั้งเมื่อ
အထောတ်,อะโทด,น.,ยอดสุด
အထောတ်,อะโทด,น.,ส่วนสูงสุด
အထံၚ်,อะทอง,น.,ส่วนโค้ง
အထံၚ်,อะทอง,น.,ส่วนเว้า
အထံၚ်,อะทอง,น.,คุ้ง(น้ำ)
အထိုက်,อะทิาก,น.,ขนบ
အထိုက်,อะทิาก,น.,ประเพณี
အထိုက်အထိုက်,อะทิากอะทิาก,ว.,ตามประเพณี
အထိုၚ်သး,อะทิางซะฮ,น.,การสรรเสริญ
အထိုၚ်သး,อะทิางซะฮ,น.,การยกย่อง
အဒါ,อะแตฺ-า,น.,เป็ด
အဒိ,อะทิฺ,ว.,อาทิ
အဒိ,อะทิฺ,ว.,ตั้งแต่ต้น
အဒိ,อะทิฺ,ว.,แต่เดิม
အဒိန်အဝ,อะทิฺนอะแวฺ.,น.,ผลความชั่วที่ได้รับ
အဒေါဝ်,อะโตฺ,ว.,กลาง
အဒိုတ်,อะเติฺด,น.,สัปดาห์
အဒိုတ်,อะเติฺด,น.,วันอาทิตย์
အဒိုတ်,อะเติฺด,น.,ชื่อดาวนพเคราะห์
အဓိက,อะทิฺกะ,ว.,เกิน
အဓိက,อะทิฺกะ,ว.,เลย
အဓိကဵု,อะทิฺกอ,น.,อธิกรณ์
အဓိကဵု,อะทิฺกอ,น.,กรณีพิพาท
အဓိတ္ထာန်,อะทิฺดทาน,ก.,อธิษฐาน
အဓိထာန်,อะทิฺทาน,ก.,อธิษฐาน
အဓိပ,อะทิฺปะ,น.,ผู้เป็นใหญ่
အဓိပ,อะทิฺปะ,น.,ผู้เป็นหัวหน้า
အဓိပ,อะทิฺปะ,น.,สิ่งสำคัญสุด
အဓိပ္ပတိ,อะทิฺบปะตอย.,น.,อธิบดี
အဓိပါဲ,อะทิฺปาย,ก.,อธิบาย
အဓိပါဲ,อะทิฺปาย,ก.,ชี้แจง
အဓိပါဲ,อะทิฺปาย,น.,การอธิบาย
အဓိပါဲ,อะทิฺปาย,น.,การขยายความ
အနက်,อะแนฺก,ว.,ประมาณค่ามิได้
အနက်,อะแนฺก,ว.,มีค่ามาก
အနဂ္ဃ,อะแนฺกแคฺ.,ว.,ประมาณค่ามิได้
အနဂ္ဃ,อะแนฺกแคฺ.,ว.,มีค่ามาก
အနတ္တ,อะนฺอดตะ,ว.,ไม่ใช่ตัวตน
အနတ္တ,อะนฺอดตะ,ว.,ไม่มีตัวตน
အနတ္တ,อะนฺอดตะ,ว.,อนัตตา
အနန္တ,อะนฺอนตะ,ว.,ไม่มีที่สิ้นสุด
အနန္တ,อะนฺอนตะ,ว.,อนันต์
အနာ,อะแนฺ-า,น.,คำสั่ง
အနာ,อะแนฺ-า,น.,คำบัญชา
အနာဂတ်,อะแนฺ-ากฺอด,น.,กาลข้างหน้า
အနာဂတ်,อะแนฺ-ากฺอด,น.,อนาคต
အနာဂာံ,อะแนฺ-ากฺาม,น.,พระอนาคามี
အနာၚ်,อะนฺาญ,น.,กันเกรา
အနာစက်,อะแนฺ-าจัก,น.,อาณาจักร
အနာစက်,อะแนฺ-าจัก,น.,เขตแดน
အနာစါရ,อะแนฺ-าจาระ,ว.,อนาจาร
အနာထ,อะแนฺ-าทะ,ว.,ไม่มีที่พึ่ง
အနာထ,อะแนฺ-าทะ,ว.,อนาถา
အနာံ,อะนฺาม,น.,ด้านกว้าง
အနာံ,อะนฺาม,น.,ความกว้าง
အနာဲ,อะนฺาย,น.,ลุง
အနိၚ်,อะเนิฺญ,ว.,โดยพลการ
အနိၚ်,อะเนิฺญ,ว.,โดยการบังคับ
အနိၚ်,อะเนิฺญ,ว.,โดยการใช้กำลัง
အနိၚ်အထက်,อะเนิฺญอะทัก,ว.,โดยการบังคับ
အနိၚ်အထက်,อะเนิฺญอะทัก,ว.,โดยพลการ
အနိၚ်အထက်,อะเนิฺญอะทัก,ว.,โดยการใช้กำลัง
အနိၚ်အပိုၚ်,อะเนิฺญอะปิาง,ว.,โดยการบังคับ
အနိၚ်အပိုၚ်,อะเนิฺญอะปิาง,ว.,โดยพลการ
အနိၚ်အပိုၚ်,อะเนิฺญอะปิาง,ว.,โดยการใช้กำลัง
အနိစ္စ,อะนิฺดเจีย.,ว.,ไม่เที่ยง
အနိသ္သံသ,อะนิฺดซองซะ,น.,อานิสงส์
အနိသ္သံသ,อะนิฺดซองซะ,น.,ผลที่ได้รับ
အနဳ,อะนีฺ,ว.,ตลอดเวลา
အနဳ,อะนีฺ,ว.,อย่างแท้จริง
အနု,อะนฺุ,ว.,น้อย
အနု,อะนฺุ,ว.,เล็ก
အနု,อะนฺุ,ว.,ตาม
အနု,อะนฺุ,ว.,ภายหลัง
အနုညာတ်,อะนฺุญฺาด,ก.,อนุญาต
အနုညာတ်,อะนฺุญฺาด,ก.,ยินยอมให้
အနုတတ်,อะนฺุตอด,น.,สระอโนดาษ
အနုဒိုဟ်,อะนฺุเตฺอ.ฮ,ว.,ทุกทิศ
အနုဘဴ,อะนฺุแพฺ-า,น.,อานุภาพ
အနုမာန,อะนฺุแมฺ-าแนฺ.,ก.,อนุมาน
အနုမာန,อะนฺุแมฺ-าแนฺ.,ก.,คาดคะเน
အနုမာန,อะนฺุแมฺ-าแนฺ.,ก.,คาดเดา
အနုမောဒနာ,อะนฺุโมฺวแตฺ.แนฺ-า,ก.,อนุโมทนา
အနုလုံ,อะนฺุลฺุม,ว.,คล้อยตาม
အနေက,อะเนฺกะ,ว.,อเนก
အနေက,อะเนฺกะ,ว.,มากมาย
အနံ,อะนฺอ.,น.,ที่นี่
အနံ,อะนฺอ.,น.,สถานที่นี้
အပ္ဍဲ,อะปะดัว,น.,ที่ข้างใน
အပ္ဍဲ,อะปะดัว,ว.,ข้างใน
အပ္ဍဲ,อะปะดัว,น.,ภายใน
အပ္ဍဲ,อะปะดัว,น.,ภายใน
အပ္ဍဲ,อะปะดัว,น.,ที่ข้างใน
အပြောမ်,อะโปฺรม,ว.,เลว
အပြောမ်,อะโปฺรม,ว.,ต่ำทราม
အပြောမ်,อะโปฺรม,ว.,ธรรมดา
အပြောမ်,อะโปฺรม,ว.,สามัญ
အပြံက်,อะปฺรอก,น.,ลวดลาย
အပြံက်,อะปฺรอก,น.,จุดด่าง
အပၠၚ်ကျာ,อะปฺลังกฺยา,ว.,ขี้โอ่
အပၠၚ်ကျာ,อะปฺลังกฺยา,ว.,โอ้อวด
အပၠၚ်ကျာ,อะปฺลังกฺยา,ว.,ขี้โม้
အပၠာ,อะปฺลา,น.,ใบ
အပၠာ,อะปฺลา,น.,ส่วนแบน ๆ เช่น ใบพาย
အပၠူ,อะเปฺลา,น.,กล้ามเนื้อ
အပၠေတ်,อะเปฺลด,น.,มลทิน
အပၠေတ်,อะเปฺลด,น.,ความผิด
အပၠေံ,อะเปฺล.,น.,ชื่อผีร้ายตนหนึ่ง
အပၠဴ,อะปฺลาว,น.,ที่ราบ
အပၠဴ,อะปฺลาว,น.,พื้นผิวที่เสมอเรียบ
အပၚ်,อะปัง,น.,คุณไสย
အပၚ်,อะปัง,น.,อำนาจลึกลับ.เช่น အပၚ်ကလော် อำนาจของผี
အပၚ်ပၠေ,อะปังเปฺล,น.,บาดแผล
အပၚ်ပၠေ,อะปังเปฺล,ก.,บาดเจ็บ
အပတ်,อะปอด,น.,อาบัติ
အပတ်,อะปอด,น.,ทางลัด
အပတ်,อะปอด,น.,คลองลัด
အပါ,อะปา,น.,พ่อ
အပါက်,อะปาจ,น.,ครึ่งหนึ่งของร้อย
အပါက်,อะปาจ,น.,จำนวน50
အပါဲ,อะปาย,น.,อบาย
အပါသွီု,อะปาฟาม,น.,พ่อเลี้ยง
အပေါတ်,อะโปด,น.,เครื่องใช้
အပေါတ်,อะโปด,น.,ของใช้
အပေါတ်,อะโปด,น.,เครื่องใช้ไม้สอย.เช่น အပေါတ်သ္ၚိ เครื่องเรือน
အပေါတ်,อะโปด,น.,เครื่องใช้ในเรือน
အပံၚ်,อะปอง,น.,การรวม
အပံၚ်,อะปอง,น.,ยอดรวม
အပိုၚ်အခြာ,อะปิางอะคฺรา,น.,เขตแดน
အပိုၚ်အခြာ,อะปิางอะคฺรา,น.,ภูมิภาค
အပိုၚ်အခြာ,อะปิางอะคฺรา,น.,เขตปกครอง
အပိုၚ်အခြာ,อะปิางอะคฺรา,น.,ระยะเวลาที่กำหนด
အပိုဟ်,อะปอ.ฮ,น.,ต้นอ้อ
အဖၠိုက်,อะพฺลิาก,น.,แร่เคลือบ
အဖက်,อะพัก,น.,คราว
အဖက်,อะพัก,น.,ขนาด
အဖက်,อะพัก,น.,รุ่นราวคราวเดียวกัน
အဖါတ်,อะพาด,น.,การเลื่อนเวลานัดหมาย
အဖါတ်,อะพาด,น.,ส่วนเนื้อของแกง
အဘိဓဝ်,อะพิฺทฺอ,น.,พระอภิธรรม
အဘိသမ္ဗောဓိ,อะพิฺซอมโปฺวทิฺ,ว.,ตรัสรู้ยิ่ง
အဘိုအ်,อะเพฺอ.,ว.,เผื่อ
အမတ,อะแมฺ.ตะ,ว.,อมตะ
အမာတ်,อะมฺาด,น.,อำมาตย์
အမာဲ,อะมฺาย,น.,อาหาร
အမာဲ,อะมฺาย,น.,กับข้าวกับปลา
အမာဲကဗျန်,อะมฺายกะปฺฺยอน,น.,อาหารประเภทปลา
အမိၚ်,อะเมิญ,น.,คำสั่ง
အမိတ်ဒါန်,อะมิฺดตฺาน,น.,คู่รัก
အမိတ်ဒါန်,อะมิฺดตฺาน,น.,แฟน
အမူ,อะมฺู,น.,น้า
အမူ,อะมฺู,น.,อา(ผู้ชาย)
အမေအ်,อะเมฺ.,น.,ขวานถากด้ามยาว
အမေအ်,อะเมฺ.,น.,ผึ่ง
အမှဲ,อะมัว,น.,ท้องฟ้า
အမှဲ,อะมัว,น.,กลางหาว
အယခေၚ်,อะแยฺ.เคียง,น.,ชาวยะไข่
အယာံမာတ်,อะยฺามมฺาด,ไว.,พอควร
အယာံမာတ်,อะยฺามมฺาด,ไว.,พอประมาณ
အယာံမာတ်,อะยฺามมฺาด,ไว.,ถึงแม้...ก็ตาม
အယိၚ်,อะเยฺิญ,น.,มันเหลว
အယိၚ်,อะเยฺิญ,น.,น้ำเหลือง
အယုက်,อะเยิฺก,น.,อายุ
အယုက်အထက်,อะเยิฺกอะทัก,น.,อายุอานาม
အယုတ်,อะยฺุด,น.,คนเลวทราม
အယုတ်,อะยฺุด,น.,คนชั่วช้า
အယော,อะโยฺว,น.,เกียรติยศ
အယောၚ်အလာ,อะโยฺงอะแลฺ-า,น.,บุคลิก
အယောၚ်အလာ,อะโยฺงอะแลฺ-า,น.,ท่าทาง
အယောၚ်အလာ,อะโยฺงอะแลฺ-า,น.,คุณสมบัติ
အယဴဖိုၚ်,อะแยฺ-าพิาง,น.,แมงมุม
အယဴ,อะแยฺ-า,น.,แมงป่อง
အယှံၚ်,อะยอง,น.,ขวานขุด
အယှံၚ်,อะยอง,น.,ผึ่ง
အယိုၚ်,อะยอง,น.,ดู လယိုၚ်
အရထ,อะแรฺ.ทะ,น.,คำแปล
အရထ,อะแรฺ.ทะ,น.,อรรถกถา
အရဟတ္တ,อะแรฺ.ฮอนตะ,น.,พระอรหันต์
အရက်,อะแรฺก,น.,เหล้า
အရက်,อะแรฺก,น.,สุรา
အရၚ်,อะแรฺง,น.,ส่วนแบ่ง
အရၚ်,อะแรฺง,ว.,แท้ ๆ
အရၚ်,อะแรฺง,ว.,ดั้งเดิม
အရည္ည,อะรฺอนญะ,น.,ป่า
အရှန်,อะซอน,น.,พระอรหันต์
အရပ်,อะรฺอบ,บุพ,เป็นของ
အရပ်,อะรฺอบ,น.,สิ่งของ
အရပ်,อะรฺอบ,น.,เจ้าของ
အရပ်အရာ,อะรฺอบอะแรฺ-า,น.,เจ้าของ
အရပ်အရာ,อะรฺอบอะแรฺ-า,น.,สิ่งของ
အရပ်အရာ,อะรฺอบอะแรฺ-า,น.,การแสดงความเป็นเจ้าเข้าเจ้าของ
အရာ,อะแรฺ-า,ส.,ของที่
အရာ,อะแรฺ-า,ส.,สิ่งที่.เช่น အရာဒနာမိတ် สิ่งที่ปราถนา
အရာပ်,อะรฺาบ,น.,ย่าน
အရာပ်,อะรฺาบ,น.,บาง
အရာပ်,อะรฺาบ,น.,หมู่บ้าน
အရိယ,อะรอย.ยะ,น.,พระศรีอริยเมตไตรย
အရိယ,อะรอย.ยะ,น.,ผู้ประเสริฐ
အရဳ,อะรอย,น.,พระอริยเจ้า
အရဳ,อะรอย,น.,พระอริยบุคคล
အရဳ,อะรอย,น.,บุคคลผู้ประเสริฐ
အရုတ်,อะรฺุด,น.,เต่า
အရုပ်,อะรฺุป,น.,อรูปพรหม
အရေဝ်,อะเรฺ,น.,คำพูด
အရေဝ်,อะเรฺ,น.,ภาษา
